X,Y
-1031.45861707455,1319539.17352493
2326.39919310661,3916194.30318608
9.65983705141844,1037189.9963569
11253.9978591695,1968015.98323004
-2.29006748411484,2154452.62012056
3745.38552319594,1844476.20776648
-1016.54124607405,3065283.23718305
1383.46885861327,2910686.52109617
1525.64078691735,1343526.83181503
3563.66922203371,2486674.36052088
2355.30816577209,1610897.0839011
64.1457229998996,2680536.31786394
4545.14126322983,962560.010248752
-1024.49656626338,1944984.29460116
9932.83183375964,1949351.40123846
-483.819232386231,1844483.02575714
7004.79188472025,6354.9520357605
-3110.73861051781,3083996.67612167
3068.41451869446,2748662.21926583
9263.28935238152,1438027.5869733
2688.72022455772,1617507.4191735
3294.11806222873,2390648.08899927
6660.84292147133,3132600.95529813
850.540668131351,1197188.46641709
14716.6087368115,3212045.47871997
2427.81014655152,2024100.68603945
-4150.40584082969,3378157.10559935
2418.74143723328,2023.68737140538
-2633.97663711272,912852.177581613
-3164.99810132166,1173538.66655513
-1831.13566758905,2457722.53175162
14698.0984433996,3590526.17435404
-881.633778665928,938505.093769725
-1561.09903849897,1067317.75504918
-3264.21925566123,1435015.92535771
-352.072820683374,1768467.45045887
4311.31824659812,2525979.7157462
2005.83527076433,2586303.29360444
2455.7637340865,3301074.78796811
-4307.7928468925,1957003.02112243
8436.64346026936,2391755.54903041
11140.3092891369,1567679.24519936
7756.97963509177,2895412.77001115
4653.87325533926,3112778.16809546
1618.68585163654,2508380.25856316
-1507.66335307782,2171343.8962252
4648.450315807,1629858.75842933
5372.73659729523,1676267.73230549
14522.9785951528,3133123.22985057
1347.28032077555,2127625.16196136
-730.009755346619,2228739.68413031
-5322.43269762001,2469005.05788952
-5052.43017505669,2331123.82784084
-1364.91617091887,1379328.83241124
11887.6237798989,1211475.38911324
-4011.44681205059,1703291.89899873
-2961.28944515929,942366.263248246
11791.7761137733,3341891.70907256
264.661479369861,1697268.32576202
3192.39580365744,2109661.44177709
1293.44121267065,1478267.09387567
8459.32508011095,746313.255659573
-590.644113708659,1561498.25689442
2839.4886869522,459234.79524952
7.27243995778554,2833691.08939371
10273.4033014414,688749.6746516
-6034.80671351401,1868847.77272522
12333.508507891,1106960.68949371
-2321.45302577544,3443260.45149682
-2161.89935268436,2745708.09155717
961.081870661459,2474544.80473494
21493.5689854732,3174683.56120237
-2807.41575278741,1935971.74452724
10841.8995359644,2076084.40950249
4551.84734355809,4399.14462856832
1229.54623040013,1490225.06097714
9878.34036592864,2027237.94246364
-1641.61692882352,962100.46996126
3971.19963569772,3482069.31788661
876.055120600686,2812559.92499195
10980.5647509416,1931458.32932363
-203.225806180933,1777583.29270925
6208.36786796078,673052.823656459
-2044.26469062158,2734528.77807548
6172.6642322652,3390583.41732216
1931.48791084978,7263.57973919171
9949.69433477202,2860342.03704987
13324.2486765977,982800.4476364
645.041376373578,1801122.65664674
2406.62138293903,2488925.18211308
-3098.86705266964,2471961.5107904
-232.768839890039,1682359.06897499
-2304.69236527009,2374331.33491818
12161.1193939442,3524204.66661156
-1400.75314347347,1260255.87367898
4026.36578098015,1666579.74443716
-2843.45887309405,1262944.62065309
-7453.10847396453,2262376.05594704
60.602166261815,1402670.98706799
10959.4307207804,2750634.07696707
-3420.35602423931,2562113.7993055
3353.28181534104,2952089.96556812
-1004.00605323031,1685150.821513
7926.90469572185,1435973.01420126
2559.88966403139,1777981.78329738
4451.52429714738,2289618.15700938
-6028.83074145654,1556480.79765489
68.300820967499,1618115.5456775
-3176.31078819457,2438629.064248
